hanzi,pinyin,translation_eng,example_sentence_1_hanzi,example_sentence_1_pinyin,example_sentence_1_eng,example_sentence_2_hanzi,example_sentence_2_pinyin,example_sentence_2_eng
间,jiān,"between; among; within a definite time or space; room; section of a room or lateral space between two pairs of pillars; classifier for rooms","我家和他家之间有一条河。","wǒ jiā hé tā jiā zhījiān yǒu yī tiáo hé.","There is a river between my house and his.","这间屋子很大。","zhè jiān wūzi hěn dà.","This room is very big."
赢,yíng,"to beat; to win; to profit","我们队赢了比赛。","wǒmen duì yíng le bǐsài.","Our team won the game.","做生意是为了赢利。","zuò shēngyì shì wèile yínglì.","Doing business is for making a profit."
受伤,shòushāng,"to sustain injuries; wounded (in an accident etc); harmed","他在事故中受伤了。","tā zài shìgù zhōng shòushāng le.","He was injured in the accident.","他的话让我很受伤。","tā de huà ràng wǒ hěn shòushāng.","His words hurt me deeply."
千万,qiānwàn,"ten million; countless; many; one must by all means","你千万要小心。","nǐ qiānwàn yào xiǎoxīn.","You must absolutely be careful.","祝你千万事事顺利。","zhù nǐ qiānwàn shìshì shùnlì.","Wish you countless successes in everything."
竟然,jìngrán,"unexpectedly; to one's surprise; in spite of everything; in that crazy way; actually; to go as far as to","他竟然没来。","tā jìngrán méi lái.","Unexpectedly, he didn't come.","这么难的问题，他竟然做出来了。","zhème nán de wèntí, tā jìngrán zuò chūlái le.","Such a difficult problem, he actually solved it."
满,mǎn,"to fill; full; filled; packed; fully; completely; quite; to reach the limit; to satisfy; satisfied; contented","杯子里的水满了。","bēizi lǐ de shuǐ mǎn le.","The cup is full of water.","他对现在的生活很满意。","tā duì xiànzài de shēnghuó hěn mǎnyì.","He is very satisfied with his current life."
靠,kào,"to lean against or on; to stand by the side of; to come near to; to depend on; to trust; to fuck (vulgar); traditional military costume drama where the performers wear armor (old)","请不要靠在门上。","qǐng bùyào kào zài mén shàng.","Please don't lean on the door.","你不能总是依靠别人。","nǐ bù néng zǒngshì yīkào biéren.","You can't always depend on others."
不了,bùliǎo,"unable to; without end","这个任务我完成不了。","zhège rènwu wǒ wánchéng bùliǎo.","I am unable to complete this task.","他们俩吵个不了。","tāmen liǎ chǎo ge bùliǎo.","The two of them quarrel endlessly."
世界,shìjiè,"world; CL:個|个[ge4]","世界如此之大，我想去看看。","shìjiè rúcǐ zhī dà, wǒ xiǎng qù kànkan.","The world is so big, I want to go and see it.","和平是全世界人民的愿望。","hépíng shì quán shìjiè rénmín de yuànwàng.","Peace is the wish of people all over the world."
证明,zhèngmíng,"proof; certificate; identification; testimonial; CL:個|个[ge4]; to prove; to testify; to confirm the truth of","你需要提供身份证明。","nǐ xūyào tígōng shēnfèn zhèngmíng.","You need to provide proof of identity.","事实证明他是对的。","shìshí zhèngmíng tā shì duì de.","The facts prove that he was right."
离,lí,"to leave; to part from; to be away from; (in giving distances) from; without (sth); independent of; one of the Eight Trigrams 八卦[ba1 gua4], symbolizing fire; ☲","我家离学校很近。","wǒ jiā lí xuéxiào hěn jìn.","My home is very close to the school.","他离开家乡很多年了。","tā líkāi jiāxiāng hěn duō nián le.","He has been away from his hometown for many years."
往,wǎng,"to go (in a direction); to; towards; (of a train) bound for; past; previous","请往前走。","qǐng wǎng qián zǒu.","Please go forward.","这趟列车是开往上海的。","zhè tàng lièchē shì kāi wǎng Shànghǎi de.","This train is bound for Shanghai."
算了,suànle,"let it be; let it pass; forget about it","太麻烦了，算了，不去了。","tài máfan le, suànle, bù qù le.","It's too troublesome, forget it, I'm not going.","算了，别跟他计较了。","suànle, bié gēn tā jìjiào le.","Let it go, don't argue with him."
直接,zhíjiē,"direct (opposite: indirect 間接|间接[jian4 jie1]); immediate; straightforward","请直接告诉我结果。","qǐng zhíjiē gàosu wǒ jiéguǒ.","Please tell me the result directly.","这是最直接的方法。","zhè shì zuì zhíjiē de fāngfǎ.","This is the most direct method."
小孩,xiǎohái,"child; CL:個|个[ge4]","公园里有很多小孩在玩。","gōngyuán lǐ yǒu hěn duō xiǎohái zài wán.","There are many children playing in the park.","他还是个小孩，别太苛求他。","tā háishi ge xiǎohái, bié tài kēqiú tā.","He's still a child, don't be too demanding of him."
块,kuài,"lump (of earth); chunk; piece; classifier for pieces of cloth, cake, soap etc; (coll.) classifier for money and currency units","请给我一块蛋糕。","qǐng gěi wǒ yī kuài dàngāo.","Please give me a piece of cake.","这本书十块钱。","zhè běn shū shí kuài qián.","This book costs ten yuan."
输,shū,"to lose; to transport; to donate; to enter (a password)","我们队输了比赛。","wǒmen duì shū le bǐsài.","Our team lost the game.","不要害怕输，重要的是参与。","bùyào hàipà shū, zhòngyào de shì cānyù.","Don't be afraid of losing, the important thing is to participate."
接受,jiēshòu,"to accept; to receive","他接受了我的邀请。","tā jiēshòu le wǒ de yāoqǐng.","He accepted my invitation.","我无法接受这个事实。","wǒ wúfǎ jiēshòu zhège shìshí.","I cannot accept this fact."
日,rì,"sun; day; date, day of the month","今天是几月几日？","jīntiān shì jǐ yuè jǐ rì?","What is the date today?","太阳从东方升起。","tàiyáng cóng dōngfāng shēng qǐ.","The sun rises from the east."
必须,bìxū,"to have to; must; compulsory; necessarily","你必须完成这项任务。","nǐ bìxū wánchéng zhè xiàng rènwu.","You must complete this task.","开车必须遵守交通规则。","kāichē bìxū zūnshǒu jiāotōng guīzé.","One must obey traffic rules when driving."
怀疑,huáiyí,"to doubt (sth); to be skeptical of; to have one's doubts; to harbor suspicions; to suspect that","我怀疑他在撒谎。","wǒ huáiyí tā zài sāhuǎng.","I suspect he is lying.","他的解释消除了我的怀疑。","tā de jiěshì xiāochú le wǒ de huáiyí.","His explanation dispelled my doubts."
丢,diū,"to lose; to put aside; to throw","我的钱包丢了。","wǒ de qiánbāo diū le.","I lost my wallet.","请不要乱丢垃圾。","qǐng bùyào luàn diū lājī.","Please don't litter."
放开,fàngkāi,"to let go; to release","快放开我！","kuài fàngkāi wǒ!","Let go of me quickly!","他终于放开了她的手。","tā zhōngyú fàngkāi le tā de shǒu.","He finally released her hand."
之间,zhījiān,"between; among; inter-","他们两人之间有误会。","tāmen liǎng rén zhījiān yǒu wùhuì.","There is a misunderstanding between the two of them.","国家之间的关系很重要。","guójiā zhījiān de guānxì hěn zhòngyào.","Relations between countries are very important."
完全,wánquán,"complete; whole; totally; entirely","我完全同意你的看法。","wǒ wánquán tóngyì nǐ de kànfǎ.","I completely agree with your view.","这跟他说的完全不一样。","zhè gēn tā shuō de wánquán bù yīyàng.","This is completely different from what he said."
简单,jiǎndān,"simple; not complicated","这个问题很简单。","zhège wèntí hěn jiǎndān.","This problem is very simple.","他的生活很简单。","tā de shēnghuó hěn jiǎndān.","His life is very simple."
受,shòu,"to receive; to accept; to suffer; subjected to; to bear; to stand; pleasant; (passive marker)","他受到了表扬。","tā shòudào le biǎoyáng.","He received praise.","这次地震使很多人受灾。","zhè cì dìzhèn shǐ hěn duō rén shòuzāi.","This earthquake caused many people to suffer disaster."
故意,gùyì,"deliberately; on purpose","他不是故意的。","tā bù shì gùyì de.","He didn't do it on purpose.","你是不是故意迟到的？","nǐ shì bù shì gùyì chídào de?","Did you deliberately arrive late?"
变成,biànchéng,"to change into; to turn into; to become","毛毛虫变成了蝴蝶。","máomaochóng biànchéng le húdié.","The caterpillar turned into a butterfly.","他变得越来越沉默了。","tā biànchéng yuèláiyuè chénmò le.","He has become more and more silent."
如何,rúhé,"how; what way; what","我们应该如何应对这个挑战？","wǒmen yīnggāi rúhé yìngduì zhège tiǎozhàn?","How should we respond to this challenge?","你认为如何？","nǐ rènwéi rúhé?","What do you think? / How do you see it?"
只能,zhǐnéng,"can only; obliged to do sth; to have no other choice","时间不够了，我们只能下次再谈。","shíjiān bù gòu le, wǒmen zhǐnéng xiàcì zài tán.","There isn't enough time, we can only talk about it next time.","我只能帮你到这儿了。","wǒ zhǐnéng bāng nǐ dào zhèr le.","This is all I can do to help you."
通知,tōngzhī,"to notify; to inform; notice; notification; CL:個|个[ge4]","请尽快通知大家开会时间。","qǐng jǐnkuài tōngzhī dàjiā kāihuì shíjiān.","Please notify everyone of the meeting time as soon as possible.","我收到了一份会议通知。","wǒ shōudào le yī fèn huìyì tōngzhī.","I received a meeting notification."
参加,cānjiā,"to participate; to take part; to join","你参加明天的会议吗？","nǐ cānjiā míngtiān de huìyì ma?","Are you participating in tomorrow's meeting?","他参加了学校的篮球队。","tā cānjiā le xuéxiào de lánqiú duì.","He joined the school's basketball team."
认为,rènwéi,"to believe; to think; to consider; to feel","我认为这个计划很好。","wǒ rènwéi zhège jìhuà hěn hǎo.","I think this plan is very good.","你认为他会同意吗？","nǐ rènwéi tā huì tóngyì ma?","Do you think he will agree?"
交,jiāo,"to hand over; to deliver; to pay (money); to turn over; to make friends; to intersect (lines); variant of 跤[jiao1]","请把作业交上来。","qǐng bǎ zuòyè jiāo shànglai.","Please hand in the homework.","我喜欢交朋友。","wǒ xǐhuan jiāo péngyou.","I like making friends."
亮,liàng,"bright; clear; resonant; to shine; to show; to reveal","天亮了。","tiān liàng le.","It's dawn / The sky is bright.","这个房间很亮。","zhège fángjiān hěn liàng.","This room is very bright."
差,chā,"difference; discrepancy; to differ; error; to err; to make a mistake","这两个版本有很大差别。","zhè liǎng ge bǎnběn yǒu hěn dà chābié.","There is a big difference between these two versions.","我们还差一个人。","wǒmen hái chā yī ge rén.","We are still short one person."
差,chà,"to differ from; to fall short of; lacking; wrong; inferior; Taiwan pr. [cha1]","他的成绩有点差。","tā de chéngjì yǒudiǎn chà.","His grades are a bit poor.","这个质量太差了。","zhège zhìliàng tài chà le.","This quality is too inferior."
差,chāi,"to send; to commission; messenger; mission","他被派去出差了。","tā bèi pài qù chūchāi le.","He was sent on a business trip.","古代有专门送信的差役。","gǔdài yǒu zhuānmén sòngxìn de chāiyì.","In ancient times, there were official messengers specifically for delivering letters."
未来,wèilái,"future; tomorrow; CL:個|个[ge4]; approaching; coming; pending","我们要为未来做好准备。","wǒmen yào wèi wèilái zuòhǎo zhǔnbèi.","We need to prepare well for the future.","我对未来充满希望。","wǒ duì wèilái chōngmǎn xīwàng.","I am full of hope for the future."
到时候,dàoshíhòu,"when the moment comes; at that time","你先准备好，到时候我来叫你。","nǐ xiān zhǔnbèi hǎo, dàoshíhòu wǒ lái jiào nǐ.","You get ready first, I'll call you when the time comes.","到时候再说吧。","dàoshíhòu zàishuō ba.","Let's talk about it when the time comes."
房间,fángjiān,"room; CL:間|间[jian1],個|个[ge4]","我的房间不大。","wǒ de fángjiān bù dà.","My room is not big.","请打扫一下房间。","qǐng dǎsǎo yīxià fángjiān.","Please clean the room."
急,jí,"urgent; pressing; rapid; hurried; worried; to make (sb) anxious","别急，慢慢来。","bié jí, mànmàn lái.","Don't rush, take your time.","我有点急事要处理。","wǒ yǒudiǎn jíshì yào chǔlǐ.","I have some urgent matters to attend to."
门,mén,"gate; door; CL:扇[shan4]; gateway; doorway; CL:個|个[ge4]; opening; valve; switch; way to do something; knack; family; house; (religious) sect; school (of thought); class; category; phylum or division (taxonomy); classifier for large guns; classifier for lessons, subjects, branches of technology; (suffix) -gate (i.e. scandal; derived from Watergate)","请关上门。","qǐng guān shàng mén.","Please close the door.","他敲了敲门。","tā qiāo le qiāo mén.","He knocked on the door."
解释,jiěshì,"explanation; to explain; to interpret; to resolve; CL:個|个[ge4]","你能解释一下这个词的意思吗？","nǐ néng jiěshì yīxià zhège cí de yìsi ma?","Can you explain the meaning of this word?","他的解释我不相信。","tā de jiěshì wǒ bù xiāngxìn.","I don't believe his explanation."
副,fù,"secondary; auxiliary; deputy; assistant; vice-; abbr. for 副詞|副词 adverb; classifier for pairs, sets of things & facial expressions","他是副经理。","tā shì fù jīnglǐ.","He is the deputy manager.","请给我一副碗筷。","qǐng gěi wǒ yī fù wǎnkuài.","Please give me a set of bowl and chopsticks."
人生,rénshēng,"life (one's time on earth)","人生充满了挑战。","rénshēng chōngmǎn le tiǎozhàn.","Life is full of challenges.","每个人都有自己的人生道路。","měi ge rén dōu yǒu zìjǐ de rénshēng dàolù.","Everyone has their own path in life."
打算,dǎsuàn,"to plan; to intend; to calculate; plan; intention; calculation; CL:個|个[ge4]","你周末有什么打算？","nǐ zhōumò yǒu shénme dǎsuàn?","What are your plans for the weekend?","我打算明年出国留学。","wǒ dǎsuàn míngnián chūguó liúxué.","I plan to study abroad next year."
远,yuǎn,"far; distant; remote; (intensifier in a comparison) by far; much (lower etc)","我家离公司很远。","wǒ jiā lí gōngsī hěn yuǎn.","My home is far from the company.","他比我高远了。","tā bǐ wǒ gāo yuǎn le.","He is much taller than me."
算是,suànshì,"considered to be; at last","他总算来了。","tā zǒng suàn lái le.","He has arrived at last.","他学习很努力，成绩也还算可以。","tā xuéxí hěn nǔlì, chéngjì yě hái suàn kěyǐ.","He studies hard, and his grades are considered acceptable."
装,zhuāng,"adornment; to adorn; dress; clothing; costume (of an actor in a play); to play a role; to pretend; to install; to fix; to wrap (sth in a bag); to load; to pack","他喜欢装酷。","tā xǐhuan zhuāng kù.","He likes to pretend to be cool.","请帮我把这个装起来。","qǐng bāng wǒ bǎ zhège zhuāng qǐlai.","Please help me pack this up."
抢,qiǎng,"to fight over; to rush; to scramble; to grab; to rob; to snatch","别抢我的东西！","bié qiǎng wǒ de dōngxi!","Don't snatch my things!","大家都在抢购打折商品。","dàjiā dōu zài qiǎnggòu dǎzhé shāngpǐn.","Everyone is rushing to buy discounted goods."
负责,fùzé,"to be in charge of; to take responsibility for; to be to blame; conscientious","他负责这个项目。","tā fùzé zhège xiàngmù.","He is in charge of this project.","我们应该对自己的行为负责。","wǒmen yīnggāi duì zìjǐ de xíngwéi fùzé.","We should be responsible for our own actions."
另外,lìngwài,"additional; in addition; besides; separate; other; moreover; furthermore","我还需要另外一本书。","wǒ hái xūyào lìngwài yī běn shū.","I need another book in addition.","除了这个，另外还有一件事。","chúle zhège, lìngwài háiyǒu yī jiàn shì.","Besides this, there is also another matter."
于,yú,"in; at; to; from; by; than; out of","会议将于明天上午九点开始。","huìyì jiāng yú míngtiān shàngwǔ jiǔ diǎn kāishǐ.","The meeting will start at 9 AM tomorrow morning.","他出生于一个普通家庭。","tā chūshēng yú yī ge pǔtōng jiātíng.","He was born into an ordinary family."
伤害,shānghài,"to injure; to harm","不要伤害小动物。","bùyào shānghài xiǎo dòngwù.","Don't harm small animals.","他的话深深地伤害了我。","tā de huà shēnshēn de shānghài le wǒ.","His words deeply hurt me."
活,huó,"to live; alive; living; work; workmanship","只要活着就有希望。","zhǐyào huó zhe jiù yǒu xīwàng.","As long as you are alive, there is hope.","这条鱼还是活的。","zhè tiáo yú háishi huó de.","This fish is still alive."
每次,měicì,"every time","每次见到他，他都很高兴。","měicì jiàndào tā, tā dōu hěn gāoxìng.","Every time I see him, he is very happy.","我每次考试都很紧张。","wǒ měicì kǎoshì dōu hěn jǐnzhāng.","I get nervous every time I take an exam."
安全,ānquán,"safe; secure; safety; security","请注意交通安全。","qǐng zhùyì jiāotōng ānquán.","Please pay attention to traffic safety.","这里很安全，不用担心。","zhèlǐ hěn ānquán, bùyòng dānxīn.","It's very safe here, don't worry."
同,tóng,"like; same; similar; together; alike; with","我们有相同的爱好。","wǒmen yǒu xiāngtóng de àihào.","We have the same hobbies.","他和我同岁。","tā hé wǒ tóng suì.","He is the same age as me."
情况,qíngkuàng,"circumstances; state of affairs; situation; CL:個|个[ge4],種|种[zhong3]","现在情况怎么样了？","xiànzài qíngkuàng zěnmeyàng le?","What is the situation now?","我们必须了解真实情况。","wǒmen bìxū liǎojiě zhēnshí qíngkuàng.","We must understand the real situation."
干,gàn,"tree trunk; main part of sth; to manage; to work; to do; capable; cadre; to kill (slang); to fuck (vulgar)","你今天下午要干什么？","nǐ jīntiān xiàwǔ yào gàn shénme?","What are you going to do this afternoon?","他很能干。","tā hěn nénggàn.","He is very capable."
对方,duìfāng,"counterpart; other person involved; opposite side; other side; receiving party","我们需要了解对方的需求。","wǒmen xūyào liǎojiě duìfāng de xūqiú.","We need to understand the other party's needs.","请尊重对方的意见。","qǐng zūnzhòng duìfāng de yìjiàn.","Please respect the other person's opinion."
代表,dàibiǎo,"representative; delegate; CL:位[wei4],個|个[ge4],名[ming2]; to represent; to stand for; on behalf of; in the name of","他是我们公司的代表。","tā shì wǒmen gōngsī de dàibiǎo.","He is the representative of our company.","这幅画代表了作者的心情。","zhè fú huà dàibiǎo le zuòzhě de xīnqíng.","This painting represents the author's mood."
从来,cónglái,"always; at all times; never (if used in negative sentence)","我从来没去过那里。","wǒ cónglái méi qù guo nàlǐ.","I have never been there.","他从来都很准时。","tā cónglái dōu hěn zhǔnshí.","He is always punctual."
放弃,fàngqì,"to renounce; to abandon; to give up","遇到困难不要轻易放弃。","yùdào kùnnan bùyào qīngyì fàngqì.","Don't give up easily when encountering difficulties.","他放弃了这次机会。","tā fàngqì le zhè cì jīhuì.","He gave up this opportunity."
危险,wēixiǎn,"danger; dangerous","这个地方很危险。","zhège dìfang hěn wēixiǎn.","This place is very dangerous.","开车时玩手机很危险。","kāichē shí wán shǒujī hěn wēixiǎn.","Playing with your phone while driving is very dangerous."
选择,xuǎnzé,"to select; to pick; choice; option; alternative","请做出你的选择。","qǐng zuòchū nǐ de xuǎnzé.","Please make your choice.","我选择留在这里工作。","wǒ xuǎnzé liú zài zhèlǐ gōngzuò.","I choose to stay here and work."
客气,kèqi,"polite; courteous; formal; modest","不用客气。","bùyòng kèqi.","You're welcome. / Don't be so formal.","他说话很客气。","tā shuōhuà hěn kèqi.","He speaks very politely."
台,tái,"(classical) you (in letters); variant of 臺|台[tai2]","兄台请留步。","xiōngtái qǐng liúbù.","Brother, please wait. (Classical/formal)","后台数据显示正常。","hòutái shùjù xiǎnshì zhèngcháng.","The backend data shows normal."
第一次,dìyīcì,"the first time; first; number one","这是我第一次来中国。","zhè shì wǒ dìyīcì lái Zhōngguó.","This is my first time coming to China.","第一次做饭，有点紧张。","dìyīcì zuòfàn, yǒudiǎn jǐnzhāng.","Cooking for the first time, I'm a bit nervous."
才能,cáinéng,"talent; ability; capacity","他很有音乐才能。","tā hěn yǒu yīnyuè cáinéng.","He has a great talent for music.","只有努力学习，才能取得好成绩。","zhǐyǒu nǔlì xuéxí, cáinéng qǔdé hǎo chéngjì.","Only by studying hard can one achieve good results."
吵,chǎo,"to quarrel; to make a noise; noisy; to disturb by making a noise","别吵了！","bié chǎo le!","Stop quarreling! / Stop making noise!","外面太吵了，我睡不着。","wàimiàn tài chǎo le, wǒ shuì bù zháo.","It's too noisy outside, I can't sleep."
有些,yǒuxiē,"some; somewhat","有些人喜欢早上锻炼。","yǒuxiē rén xǐhuan zǎoshang duànliàn.","Some people like to exercise in the morning.","我有些累了。","wǒ yǒuxiē lèi le.","I'm somewhat tired."
跟着,gēnzhe,"to follow after; immediately afterwards","你跟着我走。","nǐ gēnzhe wǒ zǒu.","You follow me.","他说完，跟着就笑了。","tā shuō wán, gēnzhe jiù xiào le.","After he finished speaking, he immediately laughed."
借,jiè,"to lend; to borrow; by means of; to take (an opportunity)","我能借你的笔用一下吗？","wǒ néng jiè nǐ de bǐ yòng yīxià ma?","Can I borrow your pen for a moment?","他向我借了钱。","tā xiàng wǒ jiè le qián.","He borrowed money from me."
安排,ānpái,"to arrange; to plan; to set up; arrangements; plans","会议安排在明天下午。","huìyì ānpái zài míngtiān xiàwǔ.","The meeting is arranged for tomorrow afternoon.","你有什么安排？","nǐ yǒu shénme ānpái?","What plans do you have?"
交代,jiāodài,"to hand over; to explain; to make clear; to brief (sb); to account for; to justify oneself; to confess; (coll.) to finish","请把工作交代清楚。","qǐng bǎ gōngzuò jiāodài qīngchu.","Please hand over/explain the work clearly.","他交代了所有的问题。","tā jiāodài le suǒyǒu de wèntí.","He confessed/explained all the problems."
后来,hòulái,"afterwards; later","我们先吃饭，后来去看电影了。","wǒmen xiān chīfàn, hòulái qù kàn diànyǐng le.","We ate first, and afterwards went to see a movie.","后来发生了什么？","hòulái fāshēng le shénme?","What happened later?"
终于,zhōngyú,"at last; in the end; finally; eventually","我们终于到达了目的地。","wǒmen zhōngyú dàodá le mùdìdì.","We finally reached the destination.","努力了这么久，他终于成功了。","nǔlì le zhème jiǔ, tā zhōngyú chénggōng le.","After working hard for so long, he finally succeeded."
加,jiā,"to add; plus; (used after an adverb such as 不, 大, 稍 etc, and before a disyllabic verb, to indicate that the action of the verb is applied to sth or sb previously mentioned); to apply (restrictions etc) to (sb); to give (support, consideration etc) to (sth)","二加二等于四。","èr jiā èr děngyú sì.","Two plus two equals four.","咖啡里加点糖吧。","kāfēi lǐ jiā diǎn táng ba.","Add some sugar to the coffee."
居然,jūrán,"unexpectedly; to one's surprise; go so far as to","他居然会说中文。","tā jūrán huì shuō Zhōngwén.","Unexpectedly, he can speak Chinese.","这么重要的事，他居然忘了。","zhème zhòngyào de shì, tā jūrán wàng le.","Such an important matter, he actually forgot."
认真,rènzhēn,"conscientious; earnest; serious; to take seriously; to take to heart","他工作很认真。","tā gōngzuò hěn rènzhēn.","He is very conscientious in his work.","请认真听老师讲课。","qǐng rènzhēn tīng lǎoshī jiǎngkè.","Please listen seriously to the teacher's lecture."
那种,nàzhǒng,"that; that kind of; that sort of; that type of","我不喜欢那种人。","wǒ bù xǐhuan nàzhǒng rén.","I don't like that kind of person.","那种感觉很难形容。","nàzhǒng gǎnjué hěn nán xíngróng.","That kind of feeling is hard to describe."
不如,bùrú,"not equal to; not as good as; inferior to; it would be better to","他不如你高。","tā bùrú nǐ gāo.","He is not as tall as you.","与其在这里等，不如我们先走吧。","yǔqí zài zhèlǐ děng, bùrú wǒmen xiān zǒu ba.","Instead of waiting here, it would be better for us to leave first."
选,xuǎn,"to choose; to pick; to select; to elect","你选哪个？","nǐ xuǎn nǎge?","Which one do you choose?","我们选他当班长。","wǒmen xuǎn tā dāng bānzhǎng.","We elected him as the class monitor."
那里,nàli,"there; that place","我的书放在那里了。","wǒ de shū fàng zài nàli le.","My book was put there.","那里风景很美。","nàli fēngjǐng hěn měi.","The scenery there is beautiful."
坏,huài,"bad; spoiled; broken; to break down; (suffix) to the utmost","这个苹果坏了。","zhège píngguǒ huài le.","This apple is spoiled.","他是个坏人。","tā shì ge huàirén.","He is a bad person."
除了,chúle,"besides; apart from (... also...); in addition to; except (for)","除了苹果，我还喜欢香蕉。","chúle píngguǒ, wǒ hái xǐhuan xiāngjiāo.","Besides apples, I also like bananas.","除了他，大家都来了。","chúle tā, dàjiā dōu lái le.","Everyone came except for him."
不够,bùgòu,"not enough; insufficient; inadequate","时间不够了。","shíjiān bùgòu le.","There's not enough time.","这些食物不够大家吃。","zhèxiē shíwù bùgòu dàjiā chī.","This food is not enough for everyone."
看起来,kànqǐlai,"seemingly; apparently; looks as if; appear to be; gives the impression that; seems on the face of it to be","他看起来很累。","tā kànqǐlai hěn lèi.","He looks very tired.","这件衣服看起来不错。","zhè jiàn yīfu kànqǐlai bùcuò.","This piece of clothing looks nice."
再见,zàijiàn,"goodbye; see you again later","明天见，再见！","míngtiān jiàn, zàijiàn!","See you tomorrow, goodbye!","我该走了，再见！","wǒ gāi zǒu le, zàijiàn!","I should go now, goodbye!"
眼睛,yǎnjing,"eye; CL:隻|只[zhi1],雙|双[shuang1]","她的眼睛很大很漂亮。","tā de yǎnjing hěn dà hěn piàoliang.","Her eyes are very big and beautiful.","请闭上眼睛。","qǐng bì shàng yǎnjing.","Please close your eyes."
解决,jiějué,"to settle (a dispute); to resolve; to solve; to dispose of; to dispatch","我们必须解决这个问题。","wǒmen bìxū jiějué zhège wèntí.","We must solve this problem.","找到解决办法了吗？","zhǎodào jiějué bànfǎ le ma?","Have you found a solution?"
饭,fàn,"cooked rice; CL:碗[wan3]; meal; CL:頓|顿[dun4]; (loanword) fan; devotee","你吃饭了吗？","nǐ chīfàn le ma?","Have you eaten?","我中午吃了米饭。","wǒ zhōngwǔ chī le mǐfàn.","I ate rice for lunch."
完成,wánchéng,"to complete; to accomplish","我完成了今天的工作。","wǒ wánchéng le jīntiān de gōngzuò.","I completed today's work.","这项任务很难完成。","zhè xiàng rènwu hěn nán wánchéng.","This task is very difficult to complete."
考虑,kǎolǜ,"to think over; to consider; consideration","请你仔细考虑一下。","qǐng nǐ zǐxì kǎolǜ yīxià.","Please consider it carefully.","这个问题需要我们认真考虑。","zhège wèntí xūyào wǒmen rènzhēn kǎolǜ.","This issue requires our serious consideration."
部,bù,"ministry; department; section; part; division; troops; board; classifier for works of literature, films, machines etc","他是市场部的经理。","tā shì shìchǎng bù de jīnglǐ.","He is the manager of the marketing department.","这部电影很好看。","zhè bù diànyǐng hěn hǎokàn.","This movie is very good."
下次,xiàcì,"next time","下次我们再一起吃饭吧。","xiàcì wǒmen zài yīqǐ chīfàn ba.","Let's eat together again next time.","希望下次能做得更好。","xīwàng xiàcì néng zuò de gèng hǎo.","Hope to do better next time."
派,pài,"clique; school; group; faction; to dispatch; to send; to assign; to appoint; pi (Greek letter Ππ); the circular ratio pi = 3.1415926; (loanword) pie","公司派他去国外工作。","gōngsī pài tā qù guówài gōngzuò.","The company dispatched him to work abroad.","这个苹果派很好吃。","zhège píngguǒ pài hěn hǎochī.","This apple pie is delicious."
由,yóu,"to follow; from; it is for...to; reason; cause; because of; due to; to; to leave it (to sb); by (introduces passive verb)","这件事由你负责。","zhè jiàn shì yóu nǐ fùzé.","You are responsible for this matter.","自由活动时间由老师安排。","zìyóu huódòng shíjiān yóu lǎoshī ānpái.","Free activity time is arranged by the teacher."
抱歉,bàoqiàn,"to be sorry; to feel apologetic; sorry!","非常抱歉，我来晚了。","fēicháng bàoqiàn, wǒ lái wǎn le.","I am very sorry, I am late.","对于我的失误，我感到很抱歉。","duìyú wǒ de shīwù, wǒ gǎndào hěn bàoqiàn.","I feel very apologetic for my mistake."
提,tí,"to carry (hanging down from the hand); to lift; to put forward; to mention; to raise (an issue); upwards character stroke; lifting brush stroke (in painting); scoop for measuring liquid","他手里提着一个箱子。","tā shǒu lǐ tí zhe yī ge xiāngzi.","He is carrying a suitcase in his hand.","他提出了一个好建议。","tā tíchū le yī ge hǎo jiànyì.","He put forward a good suggestion."
鬼,guǐ,"ghost; demon; terrible; damnable; clever; sly; crafty; (suffix for sb with a certain vice or addiction etc); one of the 28 constellations","世界上没有鬼。","shìjiè shàng méiyǒu guǐ.","There are no ghosts in the world.","他真是个机灵鬼。","tā zhēnshì ge jīling guǐ.","He is really a clever imp."
照,zhào,"according to; in accordance with; to shine; to illuminate; to reflect; to look at (one's reflection); to take (a photo); photo; as requested; as before","请照我说的做。","qǐng zhào wǒ shuō de zuò.","Please do as I say.","月光照亮了大地。","yuèguāng zhào liàng le dàdì.","The moonlight illuminated the earth."
结束,jiéshù,"termination; to finish; to end; to conclude; to close","会议马上就要结束了。","huìyì mǎshàng jiù yào jiéshù le.","The meeting is about to end soon.","我们的旅程结束了。","wǒmen de lǚchéng jiéshù le.","Our journey has ended."
难过,nánguò,"to feel sad; to feel unwell; (of life) to be difficult","听到这个消息，我很难过。","tīngdào zhège xiāoxi, wǒ hěn nánguò.","Hearing this news, I feel very sad.","他最近日子很难过。","tā zuìjìn rìzi hěn nánguò.","He has had a difficult time recently."
雨,yǔ,"rain; CL:陣|阵[zhen4],場|场[chang2]","外面下雨了。","wàimiàn xià yǔ le.","It's raining outside.","这场雨下了很久。","zhè chǎng yǔ xià le hěn jiǔ.","This rain lasted for a long time."
面,miàn,"face; side; surface; aspect; top; classifier for flat surfaces such as drums, mirrors, flags etc","他脸上没什么表情。","tā liǎn shàng méi shénme biǎoqíng."," There was no expression on his face.","请看问题的另一面。","qǐng kàn wèntí de lìng yī miàn.","Please look at the other side of the issue."
